question,choice1,choice2,choice3,choice4,choice5,answer,difficulty,topic,free,registered
The phyisical column behind and supporting a wall is called a,Crossbeam,Beam,Stud,Brace,Rider,3,2,Construction,,1
A wall stud is a,Vertical beam behind a wall,Horizontal beam,Roof beam,Support for the foundation,Carries the major weight of a house,1,2,Construction,,
"In a residential brokerage, real estate records should be kept for ",6 months,2 years,3 years,7 years,Till the closing,3,2,Law of Agency,,
"Alfonso just brokered a large deal and is walking out of the closing with a folder of records. At minimum, he would keep those records for?",7 years,Not required,2 years,3 years,None of these,4,2,Law of Agency,,
"For commercial transactions, how many years should an agent keep its records?",6 months,2 years,3 years,7 years,Till the closing,4,3,Law of Agency,,
Anita lists a 7 unit building for sale. How long should she keep her listing agreement for?,7 years,Until it is sold,3 years,Indefinitely,As long as the seller requires,1,3,Law of Agency,,
The Clean Air Act regulates the which of the following,Pollutants,Chloro-fluoro-carbons emissions,Air filter density,Air conditioners,Carbon monoxide emissions,2,2,Environmental Issues,,
CFCs are gases regulated by which legislation?,Ozone Protection Act,Environmental Protection Act,Refrigeration Act,Air Clean Act,Clean Air Act,5,2,Environmental Issues,,1
"In the context of an agent, Title X is most closely associated with",Lead-based Paint Disclosure,Lead,Paint,Lead Disclosure,Lead-based Paint,1,3,Environmental Issues,1,1
The presence of lead-based paint is likely if the house was built before,2002,1978,1987,1897,1877,2,2,Environmental Issues,,
The federal government banned consumer use of lead-containing paint in,1992,1988,1978,1987,1897,3,2,Environmental Issues,,
The law requiring lead disclosure forms was enacted in,1992,1978,1987,1988,1997,1,2,Environmental Issues,,
The regulation regarding lead-based paint disclosure is called,Residential and Commercial Lead Reduction Act,Title Z,Lead Disclosure Act,RESPA,Title X,5,2,Environmental Issues,,
Samantha is looking to buy a house and goes out on showings with agent Henderson. Which of the following is Henderson required to give to Samantha,Sales contract,Lead disclosure form,Affirmation,Agent's opinion on lead trends,Brokerage's lead policy,2,2,Environmental Issues,,
Signed Lead Disclosure forms must be kept for how many years?,6,2,3,4,1,3,2,Environmental Issues,,
Lead poisoning usually occurs via,Inhalation of lead-based paint,Ingestion of lead-based paint,Physical contact of lead-based paint,Presence of lead-based paint,Eye contact with lead-based paint,2,2,Environmental Issues,,
A blue booklet given along with a lead disclosure form has the following title,Your Rights,Agent Disclosure Form,Understanding Lead-based Paint,Protect Your Family,Understanding Lead,4,3,Law of Agency,,
"What is the color of the booklet titled ""Protect Your Family""?",Blue,Red,Green,Black,White,1,2,Law of Agency,,
"Typically, the Lead-based Paint Hazard Disclosure Form is signed by the",Attorney,Buyer,Landlord,Property Manager,Agent,2,3,Environmental Issues,,
"Typically, the Lead-based Paint Hazard Disclosure Form is signed by the",Attorney,Tenant,Landlord,Construction Manager,Agent,2,3,Environmental Issues,,
Arnaud asks you to show him some new construction homes. Are you still required to give him a lead disclosure form?,"No, lead was banned since 1987","No, lead was banned since 1978","Yes, it's required regardless","Yes, lead is still used","No, it's not required for new homes",5,3,Environmental Issues,,
The year 1978 is most closely associated with,Banning of asbestos,Civil rights protection,Title X,Amendment to Civil Rights Act of 1977,Banning of residential use of lead-based paint,5,3,Environmental Issues,,
The X is in Title X stands for,Repeal,Former,Cancelling,10,20,4,2,Environmental Issues,1,1
Properties built before what year require lead disclosure forms,1992,1978,1987,1988,1997,2,2,Environmental Issues,,
The term riparian is most closelyassociated with,Roads,Runways,Waterfall,Rivers,Lakes,4,2,Estates and Interests,,
The term littoral is most closely associated with,Land,Lakes,Garbage,None of these,All of these,2,2,Estates and Interests,,
Riparian and littoral are rights of an owner of,An adjacent ocean,Nearest lake,All of these,None of these,Land contiguous to a body of water,5,2,Estates and Interests,,
The right to use a flowing body of water is called,Littoral,Riparian,Percolating,Appropriative,Hydratic,2,2,Estates and Interests,,
The right to use a lake contiguous to owned land is called,Littoral,Riparian,Percolating,Appropriative,Oceanic,1,2,Estates and Interests,,
"In a transaction , an agent, by definition, is someone who represents ",Himself / herself,Someone else,The law,Article 12B,None of these,2,2,Law of Agency,,
Broker Victoria gets seller Amanda to sign a listing agreement. Who is the agent?,The buyer,Attorney,Victoria,Victoria's agents,Any licensed salesperson,3,3,Law of Agency,,
"Terence is a salesperson. His seller, Corona, signs a listing agreement. Who is the agent?",Terence's broker,Terence,Corona,Terence's team,None of these,1,3,Law of Agency,,
"If Bob is the broker and Sam is a salesperson for Bob, Sam is",An agent,A subagent,Fidicuiary of Bob,Reports to Bob,None of these,2,3,Law of Agency,,
The formula for actual cash value is,Replacement cost minus depreciation,Cash value plus depreciation,Projected cash value minus actual,Replacement cost plus depreciation,Cash value minus depreciation,1,3,Property Insurance,,
"In the context of insurance, the acronym ACV stands for",After Closing Value,Actual Cash Value,Active Cash Value,Actual Cash Verification,Actual Cash Valuation,2,2,Property Insurance,,
Replacement cost less what equals actual cash value?,Insurance,Depreciation,Material,Inflation,Deflation,2,2,Property Insurance,,
Actual cash value plus depreciation would equal,Actual cost,True cost,Repaired cost,Replacement cost,Real cost,4,3,Property Insurance,1,1
"In the context of property insurance, replacement cost is",The cost to tear down a structure,The cost of materials for a new structure,The cost of labor to erect a structure,Architecture design costs,The cost to rebuild,5,3,Property Insurance,,
The certification of the signature on a document by notary public is known as,Notarization,Acknowledgement,Affirmation,To be notarized,None of these,2,2,Contracts,,1
The certification of the signature on a document by notary public is known as,Notarization,None of these,Affirmation,To be notarized,None of these,2,2,Contracts,,
Actual cash value plus depreciation would equal,Actual cost,True cost,Repaired cost,None of these,Real cost,4,3,Property Insurance,,
Acknowledgement is defined as,Certification of signature by a notary public,No-commitment indication of interest by buyer,No-commitment indication of interest by seller,Any of these,None of these,1,2,Contracts,,
Acknowledgement is defined as,Certification of signature by a notary public,Agreement by buyer and seller attorneys,No-commitment indication of interest by seller,A document with ID attached,A note that a client refused to sign the disclosure form,1,2,Contracts,,1
An acknowedgement is need in order to,Establish the identity of the author of a contract,Prove the document is authentic,Prevent confusion on who buyer is,Seller's agreement to disclose financial information,File with the county clerk,5,2,Contracts,,
Which of the following is NOT certified by a notary public acknowleding a document,Signature on the document,The month document was signed,Age of the signer,Identity of signers,Date of signature,3,2,Contracts,,
Is a notary required to read a document in order to certify it?,"Yes, how else can he know it's legit","Yes, it may contain illegal clauses",No,"Yes, he may need to appear in court","Yes, but only if its not already signed yet",3,3,Contracts,,
Is a notary required to verify the accuracy of a document?,"Yes, if it's in English",No,"Yes, if it is a sales contract","No, unless he suspects something",Only by request,2,3,Contracts,,
A condop is a building that is structurally,Co-op converted to a condo,Condo converted to a co-op,Co-op that is real property,"Part condo, part co-op",Condominiums,4,2,Condos and Coops,,
A building has 114 apartment units with several doctor offices on the ground floor. This most likely is,A condop,All co-ops,Public housing,Funded by private investors,A gated community,1,2,Condos and Coops,,
"At the most general level, a condop is legally divided into",Two condos,A condo and co-op,Two co-ops,Mix of co-ops and condos,Several condops,1,3,Condos and Coops,,
Spot zoning is when,A neighborhood is rezoned,Zoning is done on the spot,A single parcel is illegaly rezoned,Parking in front of a building is limited,None of these,3,2,Land Use Regulation,1,1
The mayor of a small city changes the zoning rules for his house only. This is known as,Rezoning,Blockbusting,Redlining,Spot zoning,Disclosure violation,4,2,Land Use Regulation,,
Martha applies for a variance and is denied. Her rich neighbor applies for the same variance and receives it. This situation is known as,Spot zoning,Grandfathered zoning,Gentrification,ECB violation,An illegal violation,1,3,Land Use Regulation,,
The valuation of a property is an estimate of the property's,Size,Market value,Construction cost,Replacement cost,Rehab cost,2,2,Finance and Economics,,
An evaluation of a property is,An opinion on the strategy for a property,Valuation,Comps,Assessment,Audit report,1,2,Finance and Economics,,1
"In the context of mortgages, the acronym FHA stands for",Federal Housing Authority,Federal Housing Administration,Fair Housing Act,Federal Homeowners Association,First Housing Administration,2,2,Mortgage,,
The difference between valuation and evaluation is,Valuation is an opinion; Evaluation is an appraisal,There is no difference,Valuation is the opposite of evaluation,Valuation is a financial estimate; Evaluation is an opinion,Evaluation can only be performed by someone licensed,4,3,Finance and Economics,,
"In the context of mortgages, the acronym FHA stands for",Federal Housing Authority,None of these,Fair Housing Act,Federal Homeowners Association,First Housing Administration,2,2,Mortgage,,
"In the context of mortgages, the acronym VA stands for",Very Affordable rated,Very Afforable mortgage,Veterans Affairs,Veterans Act,Volitile ARM,3,2,Mortgage,,
"In the context of mortgages, SONYMA stands for",State of NY Matrimonial Act,SONY Music & Arts,State of NY Mortgage Association,State of NY Mortgage Agency,State of NY Mortgage Act,4,3,Mortgage,,
"In the primary mortgage markets, who sells mortgages to who?",Banks to agencies,Agencies to banks,Banks to the public,The public to the Feds,Agencies to agencies,3,3,Mortgage,,1
"In the context of mortgages, FDMC is also known as",Elmer Fudd,Freddie,Fannie Mac,Freddie Mae,Freddie Mac,5,3,Mortgage,,1
The Federal Housing Administration operates in which market?,Primary,Secondary,Both,Neither,It depends,1,3,Mortgage,,1
The acronym FDMC stands for,Federal Home Mortgage Company,Federal Home Mortgage Corporation,Federal Housing Mortgage Corporation,Federal Home Mortgage Corporation,Federal Home & Mortgage Corporation,2,2,Mortgage,,
The Government National Mortgage Association is also referred to as,Gin May,Ginnie Mac,Ginnie Mae,Ginny May,Aunt Jenima,3,2,Mortgage,1,1
